% Model:              cell.mph
% Version:            COMSOL 5.0.0.243
% Date:               Nov 18 2019, 16:22
% Dimension:          3
% Nodes:              24521
% Expressions:        3
% Description:        Potentiel électrique, Potentiel électrique, Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V)                    V2 (V)                   V3 (V)
0                         0                        0                        0                        0                        0
0                         0                        10.867812457913152       -39.021407027971755      0.08482806148960453      7.556708475321036E-7
0                         0                        21.735624915826303       -78.0428140557771        0.1696561229788753       1.5113416945365887E-6
0                         0                        33.220245579049234       -119.27890082068795      0.2592986441002477       2.3099010160398605E-6
0                         0                        44.70486624227217        -160.51498758449654      0.34894116521928464      3.108460309864434E-6
0                         0                        55.09415857587777        -197.81824492429604      0.43003416643073467      3.83085814168787E-6
0                         0                        65.48345090948335        -235.12150214735405      0.5111271673853889       4.553257990122127E-6
0                         0                        74.01588172142128        -265.75760905183057      0.5777265485795465       5.146523351190333E-6
0                         0                        82.54831253335921        -296.39372557837737      0.6443259510022403       5.739571916225175E-6
0                         0                        89.0633522659562         -319.7863601271798       0.6951788565968666       6.191049537397629E-6
0                         0                        95.57839199855317        -343.17924113827644      0.7460323058147135       6.637065933042153E-6
0                         0                        100.48995917467839       -360.8153614877647       0.7843712364671834       6.958655823509984E-6
0                         0                        105.40152635080364       -378.45365279424954      0.8227149553537484       7.232320393549841E-6
0                         0                        109.12450928247257       -391.8274764196123       0.8517883120041088       7.352875282324507E-6
0                         0                        112.84749221414154       -405.2098502438608       0.8808805255573343       7.28558707877987E-6
0                         0                        115.82308641134631       -415.91825180012347      0.9041601297903071       6.957722171536207E-6
0                         0                        118.79868060855108       -426.64556816411607      0.9274814438848366       6.218147325286059E-6
0                         0                        121.3308002222682        -435.7955603220058       0.9473742993174379       5.125206308787117E-6
0                         0                        123.86291983598532       -444.9700658992643       0.967321200603255        3.505487838912043E-6
0                         0                        125.93145991799268       -452.4809637837848       0.9836516301608577       1.8392574734533485E-6
0                         0                        128.00000000000003       -460                     1                        0
0                         0                        129.99999999999997       -460                     1                        0
0                         0                        132.42404374066442       -460.0605001336452       0.9994085713207814       5.038747364423506E-4
0                         0                        134.84808748132895       -460.1254708044519       0.9988278826474021       0.0010070375553713764
0                         0                        138.11827332836265       -460.2253157224313       0.9980737776313431       0.001683906078337135
0                         0                        141.38845917539635       -460.33909910494106      0.9973531156402614       0.002358584712207
0                         0                        145.67119564749046       -460.50153262875256      0.996441487703527        0.0032400731587485785
0                         0                        149.95393211958464       -460.6720700509157       0.995549276488994        0.004120307372101594
0                         0                        155.5725377938377        -460.9007325220179       0.9943905771640261       0.0052743439790548675
0                         0                        161.19114346809076       -461.13107656631917      0.9932359037355704       0.006428122496420023
0                         0                        168.7774467692304        -461.442682678984        0.9916782705671772       0.007985876087828
0                         0                        176.3637500703701        -461.7544398588414       0.9901209989782968       0.009543606558964393
0                         0                        186.45596029105607       -462.1692143210169       0.9880494197843177       0.01161588063717824
0                         0                        196.54817051174206       -462.5839917259          0.9859778476274016       0.013688154269378028
0                         0                        208.62440344580153       -463.080310165815        0.9834990264523186       0.016167815149116617
0                         0                        220.700636379861         -463.57662860581246      0.9810202052765739       0.018647476029284293
0                         0                        233.20231899344037       -464.0904325055635       0.9784540544037607       0.021214496182746925
0                         0                        245.7040016070197        -464.60423640459476      0.9758879035291076       0.023781516336348004
0                         0                        258.2154080097172        -465.118439939383        0.9733197567060181       0.026350533114222963
0                         0                        270.7268144124147        -465.63264347420596      0.9707516098829512       0.028919549892101267
0                         0                        283.2382208151122        -466.1468470090469       0.9681834630598968       0.031488566669976494
0                         0                        295.74962721780975       -466.66105054383803      0.9656153162367528       0.03405758344784992
0                         0                        308.26103362050725       -467.1752540786308       0.9630471694135787       0.03662660022571914
0                         0                        320.77244002320475       -467.6894576134354       0.96047902259037         0.03919561700358454
0                         0                        333.28384642590214       -468.2036611482909       0.957910875767207        0.04176463378144984
0                         0                        345.79525282859964       -468.71786468317447      0.955342728944059        0.04433365055931792
0                         0                        358.3066592312972        -469.23206821816024      0.9527745821209419       0.04690266733717842
0                         0                        370.81806563399465       -469.74627175319847      0.9502064352978775       0.04947168411503854
0                         0                        383.32947203669215       -470.260475288371        0.9476382884748823       0.052040700892892734
